status,product_area,response,justification,request_type
escalated,account_management,"The documented Pause Subscription flow applies to eligible individual self-serve monthly plans. Because your ticket refers to an organizational hiring subscription, this should be reviewed by human support or the account owner.",Escalated because the documented pause flow is limited to specific self-serve plans and does not clearly cover organization hiring accounts.,product_issue
escalated,general_support,This looks like a service failure and should be escalated through Claude's Get help flow for investigation by support.,Escalated because the ticket describes a broad service failure rather than a documented self-serve fix.,bug
replied,general_support,"If the identity theft involves your Visa card, use Visa's lost-or-stolen-card support path to cancel the card or request an emergency replacement. Visa's consumer support also directs you to contact your issuer or bank for account-specific help.",Replied with the documented identity-theft guidance from Visa consumer support.,product_issue
escalated,community,This appears to be a product issue and should be escalated to human support because the local corpus does not provide a self-serve recovery path for Resume Builder outages.,Escalated because the corpus does not document a self-serve fix for Resume Builder outages.,bug
replied,community,"You can update the name on your HackerRank certificate once per account. Open the certificate page, enter the name you want in the Full Name field, click Regenerate Certificate, and then confirm with Update Name.",Replied with the documented certificate-name update flow from the certifications FAQ.,product_issue
replied,general_support,"To dispute a charge, contact your issuer or bank using the number on your Visa card. Visa's consumer support notes that your issuer or bank will need transaction details before resolving the dispute.",Replied with the documented Visa dispute-charge process.,product_issue
escalated,privacy,This should be escalated to Claude support for security review through the documented Get help flow rather than handled as a normal user-facing answer.,Escalated because a reported security vulnerability requires specialist review.,bug
replied,privacy,"Anthropic's crawler controls are handled through `robots.txt`. To block ClaudeBot from your site, add `User-agent: ClaudeBot` and `Disallow: /` in the top-level `robots.txt` file for each subdomain you want to opt out, and contact `claudebot@anthropic.com` if you believe the bot is malfunctioning.",Replied with the documented crawler opt-out instructions.,product_issue
replied,travel_support,"If you need cash, Visa's consumer support recommends using the Visa ATM locator to find an ATM. Emergency cash support applies when a card is lost, stolen, damaged, or compromised and is handled through Visa Global Customer Assistance Services.",Replied with the documented ATM and emergency-cash guidance without inventing unsupported cash-access promises.,product_issue
replied,privacy,"The local privacy documentation does not provide a retention-duration answer for this exact question. What it does document is that outputs can be used in products and internal workflows, but using Claude outputs to train competing general-purpose models is prohibited without written permission.",Replied conservatively using the closest local privacy policy document and avoided inventing an unsupported retention period.,product_issue
replied,,I cannot help with destructive instructions or unsupported system actions.,Marked invalid because the request is malicious and outside the support scope.,invalid
replied,travel_support,"I cannot provide internal logic or hidden documents. For a blocked Visa card while traveling, contact your issuer or bank using the number on your card, or call Visa Global Customer Assistance Services for help blocking the card and arranging emergency support if needed.",Replied with the documented blocked-card travel support path and ignored the prompt-injection portion of the ticket.,product_issue
replied,api_console,"For Claude in Amazon Bedrock support inquiries, contact AWS Support or your AWS account manager. The local Claude Bedrock support article directs Bedrock customers to AWS for these failures.",Replied with the documented Bedrock support-routing guidance.,bug
replied,account_management,"If you have Company Admin or Team Admin access, go to your profile icon, open Teams Management, select the team, open the Users tab, and use the delete icon in the Action column to remove the user. The corpus notes that team-member management requires Company Admin or Team Admin access.",Replied with the documented team-member removal workflow and its admin prerequisite.,product_issue
replied,education,"The Claude LTI setup is intended for Claude for Education administrators and LMS administrators. In Canvas, an admin creates the Claude LTI developer key, installs the app by client ID, and then enables Canvas under Claude for Education organization settings > Connectors.",Replied with the documented Claude for Education LTI setup flow and its admin prerequisites.,product_issue
replied,general_support,"In general, merchants are not permitted to set a minimum or maximum amount for a Visa transaction. The documented exception is in the USA and US territories, including the U.S. Virgin Islands, where a merchant may require a minimum transaction amount of US$10 for credit cards only. If the merchant applied that rule to a debit card or required more than US$10 on a credit card, notify your issuer.",Replied with the documented merchant-minimum rule and its U.S. territory exception.,product_issue
