ticket_id,domain,request_type,product_area,action,response,escalation_reason,retrieved_doc_urls,confidence
T015,claude,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T016,visa,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T017,hackerrank,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T018,hackerrank,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T019,visa,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T020,claude,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T021,claude,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T022,visa,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T023,claude,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T024,claude,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T025,visa,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T026,claude,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T027,hackerrank,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T028,claude,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
T029,visa,invalid,unknown,escalate,Thank you for reaching out. Your request has been escalated to our specialized support team because: Low classification confidence — routing to human for safety. A human agent will contact you shortly.,Low classification confidence — routing to human for safety,,0.0
